Kod wewnętrzny,Nazwa,Kod roboczy,Przyjęto,Sprzedaż,Suma,Brutto,Zwrócono,koszt-jednostka,koszt-przyjęcie,20%,Uszkodzenia - Przyjęcie,Uszkodzenia - Zwrot,source_file,source_sheet,source_sheet_clean,report_date_raw,spot_id_raw,load_timestamp,30%,Paczki 2,Paczki 1
C3F6B2G7E5,Dodatek 01,DODATEK-01,2,2,2,15.06,0,2.92,5.84,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Dodatek 02,DODATEK-02,2,2,2,20.94,0,3.81,7.62,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3J0G7J0D4,Produkt CAT06-1-1 C3J0G7J0D4,CAT06-1-1,1,1,1,9.13,0,4.35,4.35,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
B2J0H8D4A1,Produkt CAT05-1 B2J0H8D4A1,C-CAT05-1,0,1,1,19.47,0,,,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3I9E5F6D4,Produkt CAT13-2-1 C3I9E5F6D4,CAT13-2-1,4,1,1,9.22,0,2.33,9.32,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3G7F6A1A1,Produkt CAT13-1-1 C3G7F6A1A1,CAT13-1-1,4,1,1,8.6,0,3.84,15.36,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3H8I9A1G7,Produkt CAT14-2 C3H8I9A1G7,CAT14-2,5,1,1,9.8,0,2.47,12.35,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
B2G7I9C3C3,Produkt CAT05-3 B2G7I9C3C3,C-CAT05-3,0,1,1,14.45,0,,,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
B2H8C3A1C3,Produkt CAT05-2 B2H8C3A1C3,CAT05-2,3,1,1,14.36,0,5.79,17.37,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
B2H8C3A1C3,Produkt CAT05-2 B2H8C3A1C3,C-CAT05-2,0,1,1,23.29,0,,,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
D4A1A1D4F6,Produkt CAT14-3 D4A1A1D4F6,CAT14-3,5,1,1,9.31,0,1.97,9.85,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3E5C3B2I9,Produkt CAT16-1 C3E5C3B2I9,CAT16-1,2,0,0,0.0,0,1.95,3.9,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3J0B2B2G7,Produkt CAT16-2 C3J0B2B2G7,CAT16-2,2,0,0,0.0,0,1.03,2.06,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3J0B2J0F6,Produkt CAT16-3 C3J0B2J0F6,CAT16-3,1,0,0,0.0,0,1.59,1.59,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3A1F6A1E5,Produkt CAT18-3 C3A1F6A1E5,CAT18-3,1,0,0,0.0,0,3.53,3.53,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
B2J0H8D4A1,Produkt CAT05-1 B2J0H8D4A1,CAT05-1,3,0,0,0.0,0,6.05,18.15,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
B2G7I9C3C3,Produkt CAT05-3 B2G7I9C3C3,CAT05-3,3,0,0,0.0,0,6.01,18.03,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3A1E5C3J0,Produkt CAT17-1 C3A1E5C3J0,CAT17-1,2,0,0,0.0,0,5.04,10.08,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3F6D4G7D4,Produkt CAT17-3 C3F6D4G7D4,CAT17-3,2,0,0,0.0,0,3.72,7.44,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3A1E5D4E5,Produkt CAT17-4 C3A1E5D4E5,CAT17-4,1,0,0,0.0,0,4.03,4.03,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Produkt CAT01-X-1-1,CAT01-X-1-1,3,2,2,44.13,0,7.26,21.78,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Produkt CAT10-X-3-1,CAT10-X-3-1,3,3,3,45.1,0,3.72,11.16,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Produkt CAT13-X-4-1,CAT13-X-4-1,2,2,2,25.97,0,1.68,3.36,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Produkt CAT13-X-1-1,CAT13-X-1-1,5,2,2,15.09,0,1.37,6.85,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Produkt CAT22-1-1,CAT22-1-1,3,2,2,32.16,0,3.74,11.22,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Produkt CAT01-X-4-1,CAT01-X-4-1,3,2,2,49.36,0,6.07,18.21,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Produkt CAT01-X-2-1,CAT01-X-2-1,2,1,1,15.5,0,5.96,11.92,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Produkt CAT11-X-1-1,CAT11-X-1-1,2,2,2,41.53,0,4.24,8.48,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Produkt CAT06-X-1-1,CAT06-X-1-1,2,2,2,30.78,0,4.79,9.58,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Produkt CAT13-X-3-1,CAT13-X-3-1,2,2,2,14.14,0,1.82,3.64,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Produkt CAT06-X-2-1,CAT06-X-2-1,2,2,2,26.62,0,4.25,8.5,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Produkt CAT01-X-3-1,CAT01-X-3-1,2,1,2,27.09,0,6.61,13.22,1,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Produkt CAT23-1-1,CAT23-1-1,2,1,1,16.11,0,3.93,7.86,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Produkt CAT10-X-1-1,CAT10-X-1-1,2,1,1,15.56,0,4.95,9.9,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Produkt CAT21-1-1,CAT21-1-1,2,0,0,0.0,0,6.61,13.22,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Produkt CAT01-X-5-1,CAT01-X-5-1,2,0,0,0.0,0,5.46,10.92,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Produkt CAT10-X-4-1,CAT10-X-4-1,2,0,0,0.0,0,4.81,9.62,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Produkt CAT13-X-2-1,CAT13-X-2-1,5,0,0,0.0,0,1.76,8.8,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Produkt CAT10-X-2-1,CAT10-X-2-1,1,0,0,0.0,0,3.61,3.61,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3J0G7I9D4,Produkt CAT09-1-1 C3J0G7I9D4,CAT09-1-1,7,7,7,129.64,0,4.65,32.55,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
,Dodatek 08,DODATEK-08,3,3,3,3.07,0,0.28,0.84,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
,Dodatek 06,DODATEK-06,7,7,7,49.02,0,1.15,8.05,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
D4A1B2A1F6,Produkt CAT02-1-1 D4A1B2A1F6,CAT02-1-1,4,3,3,64.15,0,2.26,9.04,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3F6C3E5E5,Produkt CAT04-2-1 C3F6C3E5E5,CAT04-2-1,1,1,1,9.8,0,4.21,4.21,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
B2H8C3A1C3,Produkt CAT05-2 B2H8C3A1C3,CAT05-2,2,2,2,32.2,0,5.79,11.58,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3F6J0D4I9,Produkt CAT07-1-1 C3F6J0D4I9,CAT07-1-1,7,7,7,79.71,0,4.09,28.63,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3F6B2G7E5,Dodatek 01,DODATEK-01,6,2,2,22.63,0,2.92,17.52,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3I9E5F6D4,Produkt CAT13-2-1 C3I9E5F6D4,CAT13-2-1,4,1,1,12.27,0,2.33,9.32,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3A1F6A1B2,Produkt CAT18-1 C3A1F6A1B2,CAT18-1,6,4,4,86.33,0,3.68,22.08,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3H8G7B2I9,Produkt CAT01-3-1 C3H8G7B2I9,CAT01-3-1,6,6,6,111.45,0,4.22,25.32,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
B2G7I9C3C3,Produkt CAT05-3 B2G7I9C3C3,CAT05-3,4,3,4,46.29,0,6.01,24.04,1,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3J0B2B2G7,Produkt CAT16-2 C3J0B2B2G7,CAT16-2,1,1,1,14.72,0,1.03,1.03,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
B2J0H8D4A1,Produkt CAT05-1 B2J0H8D4A1,CAT05-1,2,2,2,45.65,0,6.05,12.1,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3A1F6A1C3,Produkt CAT18-2 C3A1F6A1C3,CAT18-2,1,1,1,13.53,0,2.33,2.33,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
G7E5D4H8,Produkt CAT03-1-1 G7E5D4H8,CAT03-1-1,2,2,2,27.76,0,3.52,7.04,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3I9I9H8D4,Produkt CAT01-2-1 C3I9I9H8D4,CAT01-2-1,6,6,6,93.43,0,3.56,21.36,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3F6D4G7D4,Produkt CAT17-3 C3F6D4G7D4,CAT17-3,6,1,1,18.5,0,3.72,22.32,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3J0G7J0D4,Produkt CAT06-1-1 C3J0G7J0D4,CAT06-1-1,3,3,3,41.74,0,4.35,13.05,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
I9A1C3H8,Produkt CAT19-1 I9A1C3H8,CAT19-1,1,1,1,8.55,0,3.85,3.85,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3A1F6A1E5,Produkt CAT18-3 C3A1F6A1E5,CAT18-3,1,1,1,17.73,0,3.53,3.53,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3J0B2J0F6,Produkt CAT16-3 C3J0B2J0F6,CAT16-3,8,2,2,24.72,0,1.59,12.72,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3E5C3B2I9,Produkt CAT16-1 C3E5C3B2I9,CAT16-1,7,1,1,10.31,0,1.95,13.65,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
,Dodatek 09,DODATEK-09,2,2,2,2.45,0,0.6,1.2,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3F6J0E5F6,Produkt CAT01-1-1 C3F6J0E5F6,CAT01-1-1,2,1,2,26.05,0,4.26,8.52,1,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3J0C3J0H8,Produkt CAT14-1 C3J0C3J0H8,CAT14-1,8,2,2,18.42,0,1.52,12.16,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3A1E5D4E5,Produkt CAT17-4 C3A1E5D4E5,CAT17-4,1,1,1,18.21,0,4.03,4.03,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3J0G7J0E5,Produkt CAT01-4-1 C3J0G7J0E5,CAT01-4-1,3,3,3,51.7,0,8.39,25.17,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
,Dodatek 10,DODATEK-10,2,2,2,3.55,0,0.4,0.8,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
,Dodatek 03,DODATEK-03,2,2,2,36.32,0,2.78,5.56,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3A1E5C3J0,Produkt CAT17-1 C3A1E5C3J0,CAT17-1,4,1,1,17.44,0,5.04,20.16,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3A1E5C3I9,Produkt CAT17-2 C3A1E5C3I9,CAT17-2,2,1,1,15.41,0,4.83,9.66,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3H8I9A1G7,Produkt CAT14-2 C3H8I9A1G7,CAT14-2,8,1,1,9.09,0,2.47,19.76,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3B2H8B2C3,Produkt CAT03-2-1 C3B2H8B2C3,CAT03-2-1,2,0,0,0.0,0,4.22,8.44,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
I9A1C3I9,Produkt CAT20-1 I9A1C3I9,CAT20-1,1,0,0,0.0,0,3.54,3.54,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
C3G7F6A1A1,Produkt CAT13-1-1 C3G7F6A1A1,CAT13-1-1,4,0,0,0.0,0,3.84,15.36,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
D4A1A1D4F6,Produkt CAT14-3 D4A1A1D4F6,CAT14-3,8,0,0,0.0,0,1.97,15.76,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
,Dodatek 02,DODATEK-02,2,0,0,0.0,0,3.81,7.62,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
,Produkt CAT01-X-1-1,CAT01-X-1-1,4,3,3,52.42,0,7.26,29.04,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
,Produkt CAT10-X-3-1,CAT10-X-3-1,4,3,3,35.64,0,3.72,14.88,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
,Produkt CAT10-X-4-1,CAT10-X-4-1,4,1,1,17.26,0,4.81,19.24,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
,Produkt CAT13-X-1-1,CAT13-X-1-1,9,7,7,58.62,0,1.37,12.33,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
,Produkt CAT21-1-1,CAT21-1-1,3,3,3,78.32,0,6.61,19.83,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
,Produkt CAT13-X-4-1,CAT13-X-4-1,4,3,3,36.47,0,1.68,6.72,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
,Produkt CAT06-X-1-1,CAT06-X-1-1,2,2,2,17.82,0,4.79,9.58,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
,Produkt CAT06-X-2-1,CAT06-X-2-1,2,2,2,20.23,0,4.25,8.5,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
,Produkt CAT01-X-2-1,CAT01-X-2-1,3,3,3,69.39,0,5.96,17.88,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
,Produkt CAT01-X-5-1,CAT01-X-5-1,4,3,3,52.2,0,5.46,21.84,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
,Produkt CAT13-X-2-1,CAT13-X-2-1,10,1,1,7.79,0,1.76,17.6,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
,Produkt CAT11-X-1-1,CAT11-X-1-1,1,1,1,20.18,0,4.24,4.24,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
,Produkt CAT23-1-1,CAT23-1-1,3,2,2,43.79,0,3.93,11.79,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
,Produkt CAT01-X-4-1,CAT01-X-4-1,6,3,3,61.97,0,6.07,36.42,0,0,0,02.03.26.xlsx,Sklep numer 11 #11,Sklep numer 11#11,02.03.26,11,2026-04-20 17:42:39.993432,,,
